Company,Location,Job Function,Date of Submission,Hiring Interns,Year Founded,Size Range,Current Employee Estimate
Dignity Health,California,Operation,4/17/20 18:51,No,1986,10001+,7715
Discord,California,"Software Engineer,Operations,Finance/Accounting,Data Science,Product Manager",4/23/20 19:20,No,2015,51 - 200,72
Docusign,California,"Marketing,Product Manager",4/7/20 22:57,No,2003,1001 - 5000,1747
Dolby Laboratories,California,Legal,4/16/20 6:20,No,1965,1001 - 5000,1394
Domino Data Lab,"San Francisco, CA","Software Engineer,Marketing",4/8/20 0:09,No,2013,51 - 200,72
Dover,"San Francisco, CA",Software Engineer,4/8/20 4:32,No,2019,Nov-50,6
Doximity,California,Product Manager,4/17/20 18:51,No,2011,501 - 1000,268
Dropbox,New York,Software Engineer,4/24/20 16:18,Yes,2007,1001 - 5000,1600
Dropit Shopping,California,Customer Service,4/17/20 18:51,No,2014,Nov-50,12
Duolingo,"Pennsylvania, Washington, New York","Software Engineer,Data Science,Product Designer,Marketing,Other,Finance/Accounting",4/8/20 4:38,No,2011,201 - 500,146
Earnest,California,"Software Engineer,Product Designer,Data Science,Marketing,HR,Business/Strategy,Product Manager",4/8/20 4:49,No,2009,51 - 200,35
Eaze,California,"Software Engineer,Data Science",4/8/20 4:41,No,2013,201 - 500,110
Edenworks,New York,Software Engineer,4/17/20 18:51,No,2013,Nov-50,15
Ejento,New York,HR,4/17/20 18:51,No,2018,Nov-50,16
Elan Partners,California,Data Science,4/17/20 18:51,No,2007,Nov-50,9
Elastic,New York,Software Engineer,4/24/20 16:18,No,2012,1001 - 5000,585
Eliassen Group,California,Data Science,4/17/20 18:51,No,1989,501 - 1000,409
"Elwood Staffing Services, Inc.",Pennsylvania,Operation,4/17/20 18:51,No,1980,1001 - 5000,934
Endless Events,Remote,"Designer,Operations,Marketing,Sales,Customer Service,Finance/Accounting,Product Manager",4/23/20 19:20,No,2011,10-Jan,1
Envera Health,Tennessee,Customer Service,4/17/20 18:51,No,2015,51 - 200,34
Epic Games,North Carolina,Designer,4/8/20 0:58,No,1991,1001 - 5000,626
Equinix,Missouri,Customer Service,4/16/20 6:27,Yes,1998,5001 - 10000,3179
